order,taskQuestion,correctAnswer,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
30,هو الرياضية بتشجع الفريق التاني؟,7,NP.42,كل رياضية حريفة بتشجع الحكام عشان تكسب.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
31,,,BA.43,لما هو كان في الورشة النجار مرن المساعد.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
32,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,,,congruent.26,عربيات السباق تلقت العلم الي عليه مربعات.,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
34,,,NP.71,كل مجرم جريئ بيهيئ العصابة قبل الجريمة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
35,هو الولد بيتفرج على التلفزيون في المطبخ؟,7,in-situ.77,هو كان الولد الكسلان بيتابع ايه على تلفزيون الصالة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
36,,,cleft.52,مين الي كان الراجل القوي بيساعده في مكان الحادثة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
37,,,BVA.55,كل سياسي جاهز بيرشح نفسه عشان الانتخابات.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
38,,,incongruent.41,هو فك الكرفتة الي حولين حصانه.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
39,هو المصورة المبدعة بدرب نفسها؟,9,BVA.25,كل مصورة مبدعة بدرب نفسها على الزوايا.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
40,,,yn.33,هو كان الكاتب المثقف بيترجم شكسبير من الكتاب الكبار؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
41,,,incongruent.56,الخنزير نام في الدرج.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
42,,,Control.56,لما أنا كنت في البيت الكهربائي صلح النور.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
43,,,BA.41,لما هو كان في المستشفى الجراح كلم الممرضة.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
44,,,RA.11,المغنية المشهورة بتشجع نفسها قبل الاستعراض.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
45,,,in-situ.86,هو كان الممثل المشهور بينافس مين في الاوسكار الاخير؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
46,هو القائدة بتكافئ المدير بعد الفشل؟,7,NP.40,كل قائدة مهتمه بتعاتب المدير بعد الفشل.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
47,,,cleft.51,ايه الي كانت الام المشغوله بتطبخه في المطبخ الخارجي؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
48,,,Control.26,لما أنا كنت في الطيارة المضيفة جابت الأكل.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
49,,,RA.86,السواق المشتت بيعاتب نفسه بعد الحادثة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
50,هو انا بحب اكل كيك و آيس كريم مع بعض؟,9,congruent.11,أنا بحب الكيك مع الآيس كريم.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
51,,,BA.11,لما هي كانت في المطبخ الطباخة كلمت السواق.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
52,,,yn.18,هو كان الحكم المرتشي غير المعدات في البطوله العالميه؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
53,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,,,incongruent.54,المدخن المتهور سبب حريقة في الرعد.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
55,,,yn.15,هو كان البقال العجوز بيبيع خضار في محله الصغير؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
56,,,NP.69,كل غطاس قديم بيحمي التلامذة من الخطر.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
57,,,yn.23,هو كان البيطري الشاطر عالج كلب من مرضى العيادة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
58,,,incongruent.39,فريد حط الدودة على القاموس.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
59,هو الدكتورة الجامعية بتعاين نفسها؟,9,RA.09,الدكتورة الجامعية بتعاين نفسها بعد المحاضرة,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
60,,,BA.39,لما هو كان في المطعم الشيف أكل الويتر.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
61,,,NP.38,كل مديره مهتمه بتريح المسؤول بعد النجاح.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
62,هو الطالب بيذاكر في مكتبة الجامعة؟,9,cleft.48,ايه الي كان الطالب الشاطر بيذاكره في مكتبة الجامعة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
63,,,congruent.09,اشترى سجادة مساحتها من الحيطة للحيطة.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
64,,,BVA.53,كل ولد غلطان بيسامح نفسه بعد العقاب.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
65,,,in-situ.84,هو كان الراجل البخيل يبفاصل مين في محل العطور؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
66,,,Control.24,لما أنا كنت في الجنينة الشغالة لعبت الاولاد.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
67,,,congruent.24,الأم رضعت المولود الجديد.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
68,,,in-situ.75,هو كان المدرب العطشان بيشرب ايه في ملعب الكوره؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
69,,,RA.84,المدير المهموم بيهلك نفسه عشان النجاح.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
70,,,Control.54,لما أنا كنت في الاستوديو المنتج ضبط المشهد.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
71,هوالام بتسامح نفسها؟,7,BVA.23,كل ام مقصره بتعاقب نفسها على التقصير.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
72,,,cleft.47,مين الي كانت البنت التعبانة بتناديه في مسجد المحطه؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
73,هو الحرامي متشفش؟,7,BA.9,لما هي كانت في البيت الشغالة شافت الحرامي.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
74,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,,,in-situ.81,هو كان الولد الضايع بيضرب مين في المول الكبير؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
76,,,congruent.07,إيمان حطت كورنفلكس في البولة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
77,,,NP.67,كل عجوز حكيم بيعلم الشباب من الحياة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
78,هو الولد بيشتري حاجة من المول؟,7,in-situ.73,هو كان الولد الصغير بيشتري ايه من الدكان العصر؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
79,,,BA.37,لما هو كان في العاصمة الوزير قابل الرئيس.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
80,,,BVA.51,كل مذيع شاطر بيكلم نفسه عشان يتمرن.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
81,,,cleft.44,مين الي كان الجراح الخبير بيعالجه من الفريق الوطني؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
82,,,BA.7,لما هي كانت في اللوكيشن الممثلة خالفت الكاتب.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
83,,,cleft.32,ايه الي كان المصور الطموح بيصوره عشان يطور الاستوديو؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
84,,,Control.22,لما أنا كنت في المسرح الممثلة مثلت الدور.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
85,,,yn.17,هو كانت اللاعبة التعبانة بتنافس حد في المتش الاخير؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
86,,,congruent.22,الولاد ساعدوا رانيا تصلح عربيتها.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
87,هو الخياطة بطور نفسها؟,9,BVA.21,كل خياطة معروفة بطور نفسها عشان الزباين.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
88,,,incongruent.37,كل يوم اتنين الجنايني بيقص الخزنة.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
89,,,RA.82,الموظف الناجح بيتعب نفسه عشان النجاح.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
90,هو العالم دارس طب؟,9,yn.13,هو كان العالم المعاصر دارس طب في جامعة الاسكندرية؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
91,,,RA.07,الست الشجاعة بتحب نفسها في المجتمع.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
92,,,incongruent.52,حنفية الحمام بدأت مكتبة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
93,,,Control.52,لما أنا كنت في المكتب المدير نظم الاجتماعات.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
94,هو الممرضة سليمة؟,7,NP.36,كل ممرضه مصابة بتحبس المريض في المستشفى.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
95,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,,,in-situ.69,هو كان المغني المشهور بيغنى ايه في الحفلة النهردة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
97,,,RA.80,المجرم السفاح بيخبي نفسه من المباحث.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
98,,,yn.07,هو كان المخرج الاجنبي بيكلم الممثل عن الفلم الجديد؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
99,,,BA.5,لما هي كانت في المكتب السكرتيرة نظمت المستندات.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
100,هو البنت بتروي عطشها من الكوباية؟,9,RA.05,البنت العطشانة بتشرب نفسها من الكوباية.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
101,,,congruent.20,اتسمت على اسم ولدتها.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
102,,,in-situ.71,هو كان المشجع المتحمس بيشجع مين في بطولة الرماية؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
103,,,BVA.49,كل طفل صغير بيأكل نفسه في الحضانة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
104,هو كان في ساحرة في الكتاب المشوق؟,9,yn.11,هو كانت الساحرة الشريرة بتخطط لوحدها في الكتاب المشوق؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
105,,,BA.35,لما هو كان في الشغل السواق وصل الزبون.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
106,,,congruent.05,مالك كتب فصل في الكتاب.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
107,,,cleft.42,مين الي كان المحاسب المشغول عينه عشان يخفف الضغط؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
108,هو البحار كان في بيته؟,7,Control.50,لما أنا كنت في المينا البحار جهز المركب.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
109,,,NP.65,كل سواق جديد بيفكر المشرف قبل الامتحان.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
110,,,cleft.30,ايه الي كان المهندس المصاب شايله قبل الحادثه الكبيرة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
111,,,NP.34,كل محامية مهمله بتلوم العميل على الخساره.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
112,هي عملت بطاطس؟,7,incongruent.50,هي تبلت الستيك بالفلفل الشنطة.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
113,,,BVA.19,كل جراحة حريصة بتحفز نفسها قبل العملية.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
114,,,Control.20,لما أنا كنت في العمليات الممرضة ساعدت الدكتور.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
115,,,incongruent.35,نورا محبوبة من كل نورها.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
116,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,,,congruent.18,رحمة وزنت نفسها على ميزان الحمام.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
118,هو المرشدة السياحية بتصور السياح؟,7,RA.03,المرشدة السياحية بتصور نفسها عند الآثار.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
119,,,Control.48,لما أنا كنت في العمليات الدكتور كسر الجهاز.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
120,,,NP.63,كل راجل غني بيدلع العمال بعد الشغل.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
121,هو كريم كان بيكنس؟,9,incongruent.48,كريم كنس الأرض بأجتماع.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
122,,,BA.3,لما هي كانت في الجنينة الناني فسحت الولاد.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
123,,,BVA.61,كل محامية متوترة بتراجع نفسها قبل الجلسة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
124,,,incongruent.33,كل الكواكب بيلفو حولين الارقام.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
125,,,NP.32,كل مسافرة متحمسة بتجهز الورق قبل الرحلة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
126,,,cleft.28,ايه الي كانت المحامية الجريئة بتعرضه في جلسة المحكمه؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
127,,,BVA.47,كل ممثل مشهور بيشوف نفسه في المسلسلات.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
128,هو أحمد بيريح بعد الرياضة؟,7,congruent.03,قبل ممارسة الرياضة أحمد بيمدد عضلاته.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
129,,,in-situ.67,هو كان التاجر الغني بيشتري ايه من سوق الذهب؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
130,,,Control.18,لما أنا كنت في الفصل المدرسة هزأت الطلاب.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
131,,,yn.04,هو كان الاب الفخور بيشجع البنات في ماتش الكورة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
132,,,BA.33,لما هو كان في المطار الطيار قابل المضيفة.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
133,,,in-situ.64,هو كانت الست العجوزة مستنية مين في العيادة الزحمة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
134,هو الولد كسب جايزة في المسابقة؟,9,yn.08,هو كان الولد الصغير كسب جايزة في مسابقة الرسم؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
135,,,RA.78,المتسلق الخبير بيرتب نفسه قبل التسلق.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
136,,,cleft.40,مين الي كانت المراسلة المهمة وصلته من سكان القصر؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
137,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,هو المسلمة نسيت الصلاة؟,7,BVA.45,كل مسلمة ملتزمة بتفكر نفسها عشان الصلاة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
139,,,congruent.01,أنثى الفرخة اسمها دجاجة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
140,,,NP.30,كل رياضية مبتدأة بتهيأ المدرب قبل التمرين.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
141,,,BA.31,لما هو كان في المستشفى الدكتور عالج العيان.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
142,هو الرسامه بترسم في المسابقة المدرسية؟,9,in-situ.63,هو كانت الرسامه المبدعة بترسم ايه في المسابقة المدرسية؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
143,,,Control.46,لما أنا كنت في الموقع المهندس راجع التصميم.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
144,,,yn.02,‏هو كان الفنان الموهوب رسم قصر في اللوحة المشهورة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
145,,,RA.76,الرسام الصبور بيمرن نفسه في الورشة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
146,هو الممرضة نصحت الدكتور؟,7,BA.1,لما هي كانت في المستشفى الممرضة نصحت العيان.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
147,,,NP.60,كل سواء اوبر بيراجع الزبون قبل الرحلة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
148,,,yn.01,‏هو كان المدير الجديد عايز اقتراحات في اجتماع امبارح؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
149,,,Control.16,لما أنا كنت في الجنينة الفلاحة ترضت الولاد.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
150,,,in-situ.61,هو كانت الست الطيبة بتساعد مين في غرفة الطوارئ؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
151,,,incongruent.46,ندى سخنت ببرونة اللبن بتاعت الشغل.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
152,هو الست نسيت حاجة في البيت؟,9,cleft.26,ايه الي كانت الست المستعجلة نسياه في البيت فوق؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
153,,,RA.01,الطالبة المجتهدة بتكافئ نفسها بعد الامتحان.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
154,,,congruent.16,القطة متغطية بفرو أبيض.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
155,,,cleft.38,مين الي كانت المذيعة اللطيفة بتكلمه على الراديو الصبح؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
156,,,incongruent.31,بعد ما اتسرق اتصل الضحية بالكيلومتر.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
157,,,BVA.16,كل عروسة جديدة بتدلع نفسها قبل الفرح.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
158,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,,,Control.29,لما أنا كنت في الاستوديو المذيعة قدمت النشرة.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
160,,,RA.14,الممرضة المبتدئة بتتحدى نفسها في الشغل.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
161,هو االقبطان شتم الطقم؟,7,BA.44,لما هو كان على المركب القبطان شجع الطقم.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
162,,,incongruent.59,الجنينة اتدمرت بسبب المكنسة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
163,,,yn.22,هو كانت الخياطة الشاطرة بطرز فستان عشان العروسة الجميلة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
164,,,NP.74,كل ممرض منتبه بينظف المريض بين الشفتات.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
165,,,BA.14,لما هي كانت في الورشة الرسامة نقدت الفنان.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
166,,,in-situ.89,هو كانت العميلة المزعجة بتهزء مين على الخط الاساسي؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
167,,,RA.89,المبتدئ المهتم بيغير نفسه عشان التطور.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
168,هو المستشارة كانت بتشرح موضوع في الاجتماع؟,9,cleft.59,ايه الي كانت المستشارة المتسامحة بتشرحه في أوضة الاجتماعات؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
169,,,Control.59,لما أنا كنت في الجيم المدرب مرن المتسابقين.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
170,,,congruent.14,كارما صحت بعد حلم وحش.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
171,,,cleft.56,مين الي كان المدير القاسي بيطرده في اجتماع الشغل؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
172,هو المحامية بتطور العملاء عشان الانرفيو؟,7,NP.43,كل محامية شغوفه بتطور العملاء عشان القضايا.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
173,,,in-situ.80,هو كان التاجر النصاب بيبيع ايه في سوق الخضار؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
174,,,BVA.28,كل طفلة صغيرة بتأكل نفسها عشان تتعلم.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
175,,,yn.36,هو كانت الصحفية العنيدة بتعارض الجراح في المقال النهاردة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
176,هو انا بدخن سجاير؟,9,incongruent.44,أنا عموما بدخن سجاير الطاقة.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
177,,,BVA.58,كل ولد صغير بيرسم نفسه في الرسمة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
178,,,congruent.29,هما ربو الخنازير في مزرعتهم.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
179,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,,,cleft.54,ايه الي كان الطالب المشغول بيحله في قاعة المدرسة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
181,,,BA.42,لما هو كان في المكتب المحامي جاب المتهم.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
