taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
司机出车吗？,9,6,RA.08,那个 司机 出车 的时候 说 自己 织了 保暖的 手套。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
导购说营销总监给了最低的价格吗？,9,6,condition3.57,每个 导购 推销 的时候 都 说 营销总监 给了 最低的 价格。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.12,我 点了 火腿 和 芝士 和 冥王星。,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
,,6,RA.72,那个 摊贩 摆摊 的时候 说 自己 定了 合理的 价格。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,congruent.57,那个 运动员 跑了 两公里。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition4.42,那个 管家 服务 的时候 说 礼宾人员 做了 详尽的 准备。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
警卫是金店的警卫吗？,7,6,yesno.27,阿贝 想知道 那个 机场的 警卫 退了 那个 订单 给 银行的 职员 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,BVA.27,每个 酒保 调酒 的时候 都 说 自己 切了 新鲜的 柠檬。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,incongruent.42,他 寄出了 没有 邮票 的 水瓶。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
,,6,thehell.57,布朗 想知道 那个 工程的 质检 到底 还了 什么 给 公交的 司机。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,BVA.87,每个 犯人 入狱 的时候 都 说 自己 犯了 严重的 错误。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,insitu.42,赛琳 想知道 那个 快递的 司机 赔了 什么 给 军队的 长官。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition3.117,每个 矿工 干活 的时候 都 说 包工头子 戴了 防毒的 面具。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,insitu.87,塞斯 想知道 那个 温泉的 前台 发了 什么 给 日本的 僧侣。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,RA.12,那个 摄影 拍摄 的时候 说 自己 装了 耐用的 电池。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,yesno.72,乔治 想知道 那个 成都的 教练 讲了 那个 传说 给 遗迹的 专家 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
那艘船开向了已知的远方吗？,7,6,congruent.27,那艘船 开往了 未知的 远方。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,condition4.102,那个 诗人 创作 的时候 说 梦中情人 吃了 可口的 点心。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
护士是医院的护士吗？,9,6,thehell.12,老许 想知道 那个 医院的 护士 到底 送了 什么 给 牙科的 病人。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,condition3.107,每个 邮差 送信 的时候 都 说 高速警察 开了 全新的 摩托。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.02,我 喝咖啡 的时候 会 加 糖 和 袜子。,24,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
牧师是学校的牧师吗？,7,6,insitu.32,艾比 想知道 那个 诊所的 大夫 喂了 什么 给 教堂的 牧师。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition3.47,每个 主播 下播 的时候 都 说 品牌运营 收了 昂贵的 礼物。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,yesno.17,裘德 想知道 那个 酒庄的 农民 分了 那箱 葡萄 给 酒店的 游客 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,RA.02,那个 厨师 上班 的时候 说 自己 买了 好看的 围裙。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,incongruent.32,晚餐后 他们 洗了 火。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
教练说铁路工人举了轻巧的哑铃吗？,7,6,condition4.32,那个 教练 开课 的时候 说 铁路工人 举了 沉重的 哑铃。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,yesno.62,科尔 想知道 那个 花店的 花匠 教了 那个 技巧 给 码头的 保安 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,RA.62,那个 渔夫 捕鱼 的时候 说 自己 撒了 结实的 渔网。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,congruent.47,约翰 给 钢笔 灌了 墨水。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,BVA.77,每个 游客 坐车 的时候 都 说 自己 看了 壮丽的 风景。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,thehell.47,苏珊 想知道 那个 银行的 高管 到底 发了 什么 给 明星的 经纪。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
纽约是一座忙碌的城市吗？,9,6,congruent.17,纽约 是 一座 忙碌 的 城市。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,6,condition4.92,那个 地主 交易 的时候 说 助理会计 做了 提前的 计算。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,thehell.02,玛丽 想知道 那个 公司的 老板 到底 带了 什么 给 小明的 弟弟。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
农民说自己打了甘甜的井水吗？,9,6,BVA.17,每个 农民 耕种 的时候 都 说 自己 打了 甘甜的 井水。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,insitu.77,麦克 想知道 那个 山东的 老板 退了 什么 给 舟山的 渔夫。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,condition4.91,那个 财阀 调查 的时候 说 律师团队 有了 制胜的 证据。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,congruent.46,乔安 泡了 给 宝宝 的 奶粉。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,6,condition3.106,每个 军官 演讲 的时候 都 说 敌方特工 受了 严格的 训练。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.01,一只 会下蛋的 鸡 叫做 大象。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
店主说财务顾问算的是亏损的价格吗？,7,6,condition4.31,那个 店主 开店 的时候 说 财务顾问 算了 盈利的 价格。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,yesno.16,凯特 想知道 那个 机场的 保洁 读了 那本 童话 给 乘客的 女儿 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.31,那个 受害者 在 被抢劫 之后 去了 宇航局。,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
,,6,thehell.46,大卫 想知道 那个 杂志的 编辑 到底 教了 什么 给 报社的 记者。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,congruent.16,我的 猫 浑身 都是 白色 的 毛发。,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
学生说自己吃了坏掉的苹果吗？,7,6,RA.01,那个 学生 下课 的时候 说 自己 吃了 好吃的 苹果。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,insitu.76,鲍勃 想知道 那个 面馆的 师傅 带了 什么 给 教堂的 修女。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
裁判说边线裁判做了正确的判罚吗？,9,6,condition3.46,每个 裁判 比赛 的时候 都 说 边线裁判 做了 正确的 判罚。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,yesno.61,伊森 想知道 那个 诊所的 专家 退了 那笔 订单 给 海边的 渔夫 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,BVA.16,每个 花匠 训练 的时候 都 说 自己 剪了 无数的 花瓣。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
法官有保姆吗？,9,6,insitu.31,朱莉 想知道 那个 法官的 保姆 卖了 什么 给 超市的 收银。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,RA.61,那个 修女 朝拜 的时候 说 自己 走了 很长的 距离。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,thehell.01,约翰 想知道 那个 学校的 员工 到底 寄了 什么 给 小王的 妈妈。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,BVA.76,每个 商人 交易 的时候 都 说 自己 做了 果断的 决策。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和她有一样的名字的是她的狗吗？,7,6,congruent.20,她 和 她的 猫 有着 一样的 名字。,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
,,6,BVA.80,每个 明星 吃饭 的时候 都 说 自己 挑了 最少的 碳水。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,thehell.50,彼得 想知道 那个 部门的 主任 到底 买了 什么 给 小区的 电工。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,RA.65,那个 策展 布展 的时候 说 自己 做了 全面的 研究。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,yesno.65,达拉 想知道 那个 仓库的 库管 丢了 那串 钥匙 给 广场的 大妈 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.05,查理 给 新书 写了 一个 燃油。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
,,6,condition4.95,那个 小偷 盗窃 的时候 说 犯罪同伙 翻了 全部的 橱柜。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,insitu.80,小徐 想知道 那个 家电的 导购 赔了 什么 给 香港的 球员。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition3.110,每个 出纳 计算 的时候 都 说 风控部门 找了 最新的 数据。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.35,凯西 被 所有人 咀嚼。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
老板说自己讲了长篇大论吗？,7,6,RA.05,那个 老板 开会 的时候 说 自己 讲了 简单的 几句。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,congruent.50,她 用 胡椒 腌制了 牛排。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,condition4.35,那个 主任 演讲 的时候 说 生产主管 做了 杰出的 贡献。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,yesno.20,老张 想知道 那个 餐车的 厨师 分了 那箱 蔬菜 给 后勤的 学徒 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
保洁拖了肮脏的地面吗？,9,6,BVA.20,每个 保洁 开工 的时候 都 说 自己 拖了 肮脏的 地面。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,thehell.05,小王 想知道 那个 酒吧的 酒保 到底 发了 什么 给 商场的 顾客。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
音效老师吃了清新的喉糖吗？,9,6,condition3.50,每个 声优 录音 的时候 都 说 音效老师 吃了 清新的 喉糖。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,insitu.35,露西 想知道 那个 导演的 助理 端了 什么 给 乐团的 乐手。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,yesno.66,里奥 想知道 那个 宿舍的 宿管 买了 那面 镜子 给 青旅的 住客 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,BVA.21,每个 工人 下岗 的时候 都 说 自己 存了 极少的 存款。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,insitu.81,老黄 想知道 那个 政府的 官员 提了 什么 给 展览的 策展。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition4.96,那个 丈夫 出门 的时候 说 单位同事 带了 新买的 水瓶。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
宾客是经理的宾客吗？,7,6,yesno.21,小杨 想知道 那个 大学的 讲师 拿了 那支 钢笔 给 校长的 宾客 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,condition3.111,每个 校长 升旗 的时候 都 说 大队委员 唱了 庄严的 国歌。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
花圃有花匠吗？,9,6,insitu.36,尼克 想知道 那个 飞机的 机长 讲了 什么 给 花圃的 花匠。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,BVA.81,每个 大使 来访 的时候 都 说 自己 选了 大气的 礼物。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,congruent.51,秋季 学期 从 秋天 开始。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,condition4.36,那个 水手 出海 的时候 说 船员总管 吻了 深爱的 爱人。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
难民是邻国的吗？,9,6,thehell.06,阿信 想知道 那个 歌手的 弟弟 到底 捐了 什么 给 邻国的 难民。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,condition3.51,每个 剪辑 拍照 的时候 都 说 电影导演 看了 有趣的 视频。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.36,乔伊 扭伤了 他的 水果。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
保安洗了厚重的围巾吗？,7,6,RA.06,那个 保安 执勤 的时候 说 自己 洗了 厚重的 棉袄。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,thehell.51,罗伊 想知道 那个 驾校的 教练 到底 卖了 什么 给 视频的 审核。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,incongruent.06,看电影 的时候 我们 吃了 吸尘器。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,RA.66,那个 安检 检查 的时候 说 自己 搜了 可疑的 包裹。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,congruent.21,香氛 让 车里 充满了 香味。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
读者是漫画的读者吗？,7,6,thehell.11,小沈 想知道 那个 书店的 导购 到底 借了 什么 给 小说的 读者。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,condition3.116,每个 掌门 练功 的时候 都 说 首席弟子 吃了 蓝色的 仙丹。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,congruent.26,小黄 穿了 一件 深色的 裙子。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,condition4.101,那个 舞者 跳舞 的时候 说 舞蹈队长 穿了 合脚的 舞鞋。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,yesno.71,玛丽 想知道 那个 上海的 会长 端了 那盘 蔬菜 给 大学的 教授 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,RA.71,那个 船长 指挥 的时候 说 自己 下了 清晰的 命令。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,congruent.56,牛群 在 泥地里 走路。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
球童说网球队员穿了轻便的衣服吗？,7,6,condition3.56,每个 球童 捡球 的时候 都 说 篮球队员 穿了 轻便的 衣服。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.41,他 解开了 脖子上的 字典。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,BVA.86,每个 歌手 演出 的时候 都 说 自己 喝了 温热的 白水。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,yesno.26,杰瑞 想知道 那个 餐馆的 厨师 教了 那个 菜谱 给 医院的 护士 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.11,我 喜欢 咖啡 配 火箭筒。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,thehell.56,菲比 想知道 那个 播客的 声优 到底 讲了 什么 给 城堡的 守卫。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
电工说自己做了很多的工作吗？,9,6,BVA.26,每个 电工 回家 的时候 都 说 自己 做了 很多的 工作。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,insitu.86,裘德 想知道 那个 公路的 警察 教了 什么 给 牙医的 助理。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
编剧说历史学家用了好用的键盘吗？,9,6,condition4.41,那个 编剧 打字 的时候 说 历史学家 用了 好用的 键盘。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,insitu.41,佩吉 想知道 那个 邮轮的 船员 赔了 什么 给 协会的 会长。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,RA.11,那个 记者 采访 的时候 说 自己 提了 到位的 问题。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
顾问说自己画了清晰的图表吗？,9,6,BVA.18,每个 顾问 咨询 的时候 都 说 自己 画了 清晰的 图表。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,congruent.48,约翰 用 扫帚 打扫了 房间。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,condition4.93,那个 公主 换装 的时候 说 服装顾问 买了 可爱的 洋服。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
果农是植物园的果农吗？,7,6,yesno.18,塞斯 想知道 那个 果园的 果农 带了 那盒 鸡蛋 给 女婿的 父亲 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,RA.03,那个 员工 吃饭 的时候 说 自己 吃了 美味的 炒面。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,insitu.78,米奇 想知道 那个 浙江的 厨师 教了 什么 给 武汉的 警卫。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,incongruent.33,地球的 公转 围绕着 水星。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
酒店有保安吗？,9,6,thehell.03,乔治 想知道 那个 酒店的 保安 到底 退了 什么 给 老家的 商家。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,incongruent.03,训练前 杰克 总是 拉伸 他的 语言。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
,,6,condition3.48,每个 教练 训练 的时候 都 说 机构助教 给了 足够的 帮助。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
