order,taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
41, ,,1,cleft.53,"I don't know her name, but Dave said that he upset a waitress at the bar.",136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
42,,,1,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43, ,,1,cleft.78,Who did the comment by the principal hurt?,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
44, ,,1,BA.4,Did the compliment about the food please the restaurant owner?,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
45, ,,1,cleft.55,"I don't know who, but Josh claimed that he tripped someone in the mall.",136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
46, ,,1,fronting.74,William wondered if the consultation with the lawyers achieved the deal.,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
47, ,,1,Control.48,"I didn't buy anything, but Ned claimed that he bought a vase from the website.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
48,Did Jason sell a t-shirt?,7,1,yn.27,"I don't know her name, but Jason says that he recruited a volunteer on the street.",129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
49,Was there testimony?,9,1,RA.55,Jack wondered if the complaint about the testimony worried the lawyer.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
50, ,,1,BA.6,"I don't know what, but Molly claims that she found something on the street.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
51,Was there a complaint?,9,1,congruent.03,Hunter wondered who the complaint by the worker criticized.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
52, ,,1,incongruent.33,"I don't know its size, but Sarah claimed that she chased a dog in the park.",21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
53, ,,1,BVA.80,Anthony wondered what the cousin of the bride crashed.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
54,Did Pam brush her teeth?,7,1,Control.33,Pam weighed herself on the bathroom scale.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
55, ,,1,yn.30,John swept the floor with a meeting.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
56, ,,1,fronting.05,Did the decision by the teacher settle the argument?,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
57, ,,1,NP.71,Before exercising Jack always stretches his muscles.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
58,Did Alexis play tennis?,7,1,BVA.14,"I didn't guide anyone, but Alexis says that she guided a tourist in the cave.",68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
59, ,,1,congruent.18,"I didn't sell anything, but Shane claims that he sold something at the fair.",6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
60, ,,1,RA.52,What did the campaign about the environment save?,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
61, ,,1,incongruent.48,All the planets circle around the number.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
62, ,,1,NP.74,"I didn't copy anyone, but Sharon says that she copied someone on the email.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
63,,,1,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Was there a rollercoaster?,7,1,incongruent.34,Did the documentary by the director confuse the audience?,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
65, ,,1,Control.49,Ray fell down and skinned his knee.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
66, ,,1,cleft.79,Isaiah wondered if the decision about the regulations dissatisfied the environmental groups.,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
67, ,,1,RA.30,Did the drawing by the artist depict the battle?,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
68, ,,1,Control.34,"I didn't borrow anything, but Cindy said that she borrowed something from the babysitter.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
69,Was someone fired?,7,1,NP.33,"I didn't interview anyone, but Gary said that he interviewed someone from the newspaper.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
70, ,,1,BA.9,"I don't know what, but Toby claims that he ate something at the restaurant.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
71, ,,1,congruent.19,"I didn't accept anything, but Marcy said that she accepted a box from the driver.",4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
72,Did she put something on?,9,1,BVA.36,She put on her high heeled stamp.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
73, ,,1,NP.65,Evan wondered who the discovery of the ruins astounded.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
74,Was there a compliment?,9,1,fronting.75,Who did the compliment from the bartender embarrass?,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
75, ,,1,incongruent.49,Ryan wondered what the documentary about the war affected.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
76, ,,1,BVA.72,What did the diplomacy by the general avert? ,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
77, ,,1,congruent.04,"I don't know his name, but Emily said that she detained a criminal in the airport.",6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
78, ,,1,cleft.56,Nicholas wondered if the discovery by the scientist benefited the military.,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
79, ,,1,yn.33,Betsy could never tell a lie.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
80, ,,1,BA.7,"I don't know its flavor, but Eric said that he baked a cake for the party.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
81, ,,1,yn.31,Brian poured some sauce on his rare disease.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
82, ,,1,fronting.06,"I didn't teach anyone, but David claims that he taught a student in the class.",144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
83,Was someone deleted from the list?,7,1,RA.09,"I don't know who, but Matt claims that he selected someone from the list.",66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
84,,,1,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85, ,,1,Control.35,Did the excuse by the student frustrate the professor?,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
86, ,,1,fronting.76,She was named after her mother.,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
87, ,,1,BA.10,"I don't know what, but Doug said that he captured something in the trap.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
88,Did Larry circulate a note?,9,1,incongruent.35,"I don't know its content, but Larry claims that he circulated a note during the class.",20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
89, ,,1,cleft.80,"I don't know who, but Lisa claims that she surprised someone with the horn. ",136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
90, ,,1,BVA.08,Who did the drawing of the king please?,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
91,Was there feedback from the buyers?,9,1,RA.27,Jonathan wondered what the feedback from the buyers changed.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
92, ,,1,congruent.20,John wondered if the exhibition by the painter celebrated the city.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
93, ,,1,BVA.31,"I didn't collect anything, but Erica said that she collected something during the fundraiser. ",68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
94, ,,1,yn.36,Jayden wondered who the excuse about the grade annoyed.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
95, ,,1,RA.87,Did the inquiry by the mayor assist the police investigation?,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
96, ,,1,BA.8,Cathy is liked by all of her light.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
97, ,,1,fronting.09,Dick wrote a chapter in the book.,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
98,Did the charity close down?,7,1,incongruent.50,Mason wondered if the email about the fundraiser surprised the philanthropist.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
99,Was the email from the lawyer?,7,1,Control.50,What did the email from the accountant criticize?,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
100,Did Carl help a relative?,9,1,congruent.05,"I didn't help anyone, but Carl says that he helped a relative at the hospital.",5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
101, ,,1,cleft.57,"I don't know his name, but Lindsay says that she tracked a thief on the phone.",136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
102, ,,1,NP.11,"I didn't distract anyone, but Katie claims that she distracted someone during the play. ",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
103, ,,1,yn.32,She seasoned the steak with black bags.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
104, ,,1,NP.58,"I didn't catch anything, but Elise claims that she caught a bug with the net.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
105,,,1,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106, ,,1,NP.76,"I didn't bake anything, but Leslie said that she baked a pie before the party.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
107, ,,1,fronting.77,Aaron wondered if the experiment about the bacteria intrigued the scientist.,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
108, ,,1,RA.86,The academic year began in the bridge.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
109, ,,1,congruent.21,Did the lecture by the professor cover the exam questions?,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
110, ,,1,NP.73,The attendant filled the car with gas.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
111,Was the experiment by the military?,7,1,Control.36,Connor wondered who the experiment by the doctors deceived.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
112, ,,1,yn.34,"I didn't hit anything, but Rebecca claims that she hit something with the lawnmower.",129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
113,Did Joe break his leg?,7,1,BVA.46,"During the volley, Joe twisted his money.",68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
114, ,,1,Control.51,Christian wondered if the invitation to the fundraiser excited the young actress.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
115, ,,1,BA.11,"I don't know its contents, but Michael said that he deleted an email from the phone.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
116,Did Harry hire someone?,9,1,BVA.61,"I didn't hire anyone, but Harry said that he hired someone from the agency.",68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
117, ,,1,incongruent.36,During the movie we ate buttered popcorn.,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
118,Did Nick cook something?,9,1,cleft.58,"I don't know what, but Nick claims that he cooked something for the banquet.",136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
119,Was there a sculpture exhibition?,9,1,BA.12,Who did the exhibition of the sculptures excite?,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
120, ,,1,cleft.81,"I don't know who, but Ben says that he met someone at the club.",136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
121, ,,1,RA.29,"I don't know his name, but Erin said that she visited a doctor at the hospital.",66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
122, ,,1,yn.39,What did the invention by the professor deserve?,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
123, ,,1,incongruent.51,Dylan wondered what the joke about the election revealed.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
124, ,,1,fronting.12,"I didn't interview anyone, but Beth claimed that she interviewed an agent from the government.",144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
125, ,,1,congruent.06,Did the feedback about the sale upset the manager?,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
126,,,1,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127, ,,1,NP.77,Zachary wondered what the meeting with the donors delayed.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
128, ,,1,Control.52,Every Monday the gardener mows the safe.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
129,Did Emily cook eggs?,7,1,BA.13,Emily poured cereal in a bowl.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
130, ,,1,yn.35,"I didn't train anyone, but Jen claimed that she trained an employee for the project. ",129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
131, ,,1,incongruent.37,"I didn't copy anything, but Heather claims that she copied something from the phone.",22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
132,Did Trent build a cabin?,7,1,BVA.26,"I don't know its purpose, but Trent said that he built a shed in the yard.",68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
133, ,,1,RA.47,"I don't know who, but Jane says that she fired someone at the company.",66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
134, ,,1,fronting.02,The boys helped Jane wax her car.,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
135,Was the meeting about the trial?,7,1,RA.07,Nathan wondered if the meeting about the embargo incited the protest.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
136, ,,1,fronting.13,Did the movie by the student win the award?,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
137, ,,1,incongruent.52,Kyle wondered if the film by the journalist offended the critic.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
138,Was the letter from the president?,9,1,yn.40,What did the letter from the president praise?,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
139, ,,1,Control.37,Juan wondered who the guest of the speaker insulted.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
140, ,,1,BVA.69,"I didn't disqualify anyone, but Matt claims that he disqualified someone during the game.",68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
141, ,,1,cleft.59,Who did the film about the recession enlighten?,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
142, ,,1,congruent.22,"I didn't draw anything, but Tina said that she drew a portrait for the show.",5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
143,Did Ryan deliver something?,9,1,BA.14,"I don't know what, but Ryan said that he delivered something to the house.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
144, ,,1,NP.66,"I don't know his name, but Julia says that she treated a patient at the hospital.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
145, ,,1,congruent.07,The bathroom faucet sprung a library.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
146, ,,1,cleft.82,Did the hypothesis about the climate frustrate the scientist?,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
147,,,1,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148, ,,1,fronting.04,Emily wondered what the painting by the monk settled.,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
149, ,,1,incongruent.38,"I didn't knit anything, but Derek claims that he knit something for the party.",21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
150, ,,1,yn.37,Gabriel wondered if the objection by the attorney delayed the trial.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
151,Did Tess eat a sandwich?,7,1,RA.10,"I didn't prosecute anyone, but Tess claims that she prosecuted someone for the theft.",66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
152, ,,1,congruent.08,The new fertilizer enriched the soil.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
153, ,,1,BVA.68,Father carved the turkey with a road.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
154, ,,1,incongruent.53,"I don't know his name, but Sue said that she detained a criminal at the airport.",21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
155, ,,1,yn.41,Hal wrote her a love letter.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
156,Did the boat sink?,7,1,BA.15,The boat passed easily under the hour.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
157, ,,1,NP.67,"I don't know what, but Harry claims that he found something in the attic.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
158,Was the invention patented?,7,1,cleft.83,Did the invention of the algorithm interest the investors?,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
159, ,,1,BA.16,"I don't know its purpose, but Sam said that he installed a program on the computer.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
160, ,,1,Control.38,What did the objection against the war start?,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
161,Was there an inquiry about the company?,9,1,congruent.23,Morgan wondered who the inquiry about the company distracted.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
162, ,,1,BVA.59,Who did the incompetence of the doctors injure?,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
163, ,,1,fronting.14,Did the pamphlet about the disease suggest the vaccine? ,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
164, ,,1,RA.39,Adam wondered if the information about the stocks deceived the investors.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
165,Did Stacey see someone?,9,1,cleft.60,"I didn't see anyone, but Stacey says that she saw a squatter in the house.",136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
166, ,,1,NP.54,"I don't know who, but Neil says that he apprehended someone for the crime.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
167, ,,1,Control.53,"I didn't hide anything, but Sarah says that she hid a coat in the closet.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
168,,,1,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169, ,,1,Control.54,Fred put the worm on a dictionary.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
170, ,,1,congruent.09,Kaitlyn wondered who the lecture about the painting captivated.,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
171, ,,1,incongruent.54,The mother fed the newborn baby.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
172,Did he buy a desk?,7,1,RA.56,He bought a wall to wall carpet.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
173, ,,1,yn.42,"I don't know her name, but Scott claims that he tutored a student at the school.",129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
174, ,,1,BA.19,Did the letter about the attack disturb the president?,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
175, ,,1,incongruent.39,"I didn't leave anything, but Ann says that she left something in the cave.",20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
176,Did Jeff draw a symbol?,9,1,NP.64,"I don't know its meaning, but Jeff says that he drew a symbol on the wall.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
177,Was the debate canceled?,7,1,cleft.84,Did the poll about the debate uncover the winner?,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
178,Did the comedian tell a joke?,9,1,BVA.02,Ella wondered if the joke by the comedian insulted the prime minister.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
179, ,,1,Control.39,What did the performance by the children receive?,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
180, ,,1,BA.17,Olivia wondered if the picture of the couple accompanied the wedding invitation.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
181, ,,1,RA.38,"I didn't organize anything, but Nate claims that he organized a fundraiser in the office.",66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
182, ,,1,fronting.07,Who did the invitation of the actor thrill?,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
