order,taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
23,,,5,congruent.09,اشترى زولية مساحتها من الإيدار لين الإيدار.,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
24,,,5,incongruent.54,المدخن المهمل تسبب بحريجة في البرق.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
25,,,5,RA.38,الملكة المخلصة تلزم نفسها عشان الشعب.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
26,,,5,yn.84,كانت الملكة العادلة تفضل محمد من الوزراء الملكيين؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
27,,,5,BA.54,"يوم هو كان في المطعم، الشيف اكل الويتر.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
28,سعيد حط قطوه؟,7,5,incongruent.39,سعيد حط الدودة على المعجم.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
29,,,5,NP.64,كل سياسي جاهز يرشح المرشح عشان الانتخابات.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
30,,,5,cleft.15,شو اللي كان الطالب الذكي يحله في قاعة الامتحان؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
31,,,5,BVA.37,كل ممرضه مصابة تحبس نفسها في المستشفى.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
32,الشغالة لعبت الياهل؟,9,5,Control.17,"يوم أنا كنت في الحديقة، الشغالة لعبت الياهل.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
33,,,5,BA.39,"يوم هي كانت في البيت، الشغالة شافت الحرامي.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
34,,,5,RA.56,المذيع الشاطر يكلم نفسه قبل الأذاعة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
35,,,5,fronting.38,منو كانت العيوز العصبيه تهزء في محل الملابس؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
36,الطالبة تعلم الأبله؟,7,5,NP.05,كل طالبة مجتهدة تعلم زميلتها بعد الحصة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
37,,,5,congruent.24,الأم أكلت المولود حليب.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
38,,,5,yn.61,كانت الأم المرتبة تجهز الأثاث اليديد في البيت؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
39,,,5,fronting.42,منو كان الشاعر المعروف يرمس في المهرجان الصيفي؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
40,,,5,BVA.02,كل مجرم جريئ يهيئ نفسه قبل الجريمة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
41,الرجل المعضل ساعدهم؟,9,5,cleft.07,منو اللي كان الريال المعضل يساعده في مكان الحادث؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
42,,,5,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,,,5,BA.55,"يوم هو كان في المعمل، العالم علم المساعد.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
44,,,5,RA.23,المصورة المبدعة تدرب نفسها على زوايا.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
45,المصممه شلت تصاميمها من المعرض؟,7,5,Control.18,"يوم أنا كنت في العرض، المصممة عرضت تصاميمها.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
46,,,5,NP.48,كل ممثل مشهور يشوف الزملاء في المسلسلات.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
47,,,5,yn.85,كانت المراسلة المهمة تراسل الخادم من سكان القصر؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
48,,,5,BVA.32,كل عالمة حرصه تحمي نفسها قبل التجارب.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
49,,,5,fronting.46,شو كان المدير اليديد يبا في الاجتماع امس؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
50,هو باعهم؟,7,5,incongruent.40,هو اشتراهم من محل الضغط.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
51,,,5,cleft.08,منو اللي كانت الطفله اليوعانه تترياه في المطعم الهندي؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
52,,,5,Control.20,"يوم أنا كنت في البيت، الكهربجي صلح الليتات.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
53,,,5,BVA.03,كل ممثل شغوف يراجع نفسه قبل المسرحيه.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
54,,,5,incongruent.55,المحاضرة مفروض تستمر لحوالي مساحة.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
55,الأم ودعت اليهال؟,9,5,BA.40,"يوم هي كانت في الحضانة، الأم ودعت اليهال.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
56,,,5,yn.63,كان الحكم المرتشي مغير المعدات في البطولة العالمية؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
57,,,5,NP.49,كل رياضية أولومبية تشوف الفريق في الجريدة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
58,,,5,RA.16,الموظف الناجح يلزم نفسه على النجاح.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
59,,,5,fronting.43,منو كان الشيبه الطيب يساعد في المسيد المغرب؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
60,,,5,congruent.10,ضفت اسمي في اللستة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
61,,,5,cleft.18,شو اللي كانت الرسامة المبدعة ترسمه في المسابقة المدرسية؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
62,الطالب يقرأ في المكتبة؟,9,5,congruent.25,الطالب يقرأ بهدوء في المكتبة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
63,,,5,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,,,5,Control.27,"يوم أنا كنت في المصنع، النجار صنع طاولة.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
65,الحرمة تذكرت تشل تلفونها؟,7,5,yn.71,كانت الحرمة المستعيلة ناسية تلفونها في البيت فوق؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
66,,,5,NP.22,كل طباخ محترف يطور مساعدينه بعد التقييم.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
67,,,5,BA.60,"يوم هو كان في القسم، الضابط حيا النقيب.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
68,المبرمج يطور نفسه؟,9,5,BVA.04,كل مبرمج شغوف يطور نفسه في البرمجة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
69,,,5,fronting.66,منو كان البلوقر الغيور فاضح في البوست الطويل؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
70,,,5,yn.90,كان الحرامي المسجون سارق من أغلب سكان المجمع؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
71,,,5,incongruent.45,يعتبر شي نحس إنك تمشي تحت السفينة.,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
72,الولد يسامح ابوه؟,7,5,RA.60,الولد الغلطان يسامح نفسه بعد العقاب.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
73,,,5,congruent.15,الدراجات يقدرون يطلعون أصوات عالية.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
74,,,5,BVA.45,كل مسلمه ملتزمه تذكر نفسها في الصلاة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
75,,,5,cleft.25,شو اللي كان الدكتور المشغول يعالجه في عيادة العظام؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
76,,,5,RA.24,المغنية المشهورة تهيء نفسها قبل الحفل.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
77,الراهبة كلمت البابا؟,9,5,BA.45,"يوم هي كانت في الكنيسة، الراهبة كلمت البابا.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
78,,,5,fronting.51,شو كانت الطالبة المجتهده تذاكر من المواد الصعبة؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
79,,,5,incongruent.60,هم سخنوا الحوض بالطاقة الفلفل.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
80,,,5,Control.30,"يوم أنا كنت في المكتب، المترجمة ترجمت الوثائق.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
81,,,5,congruent.30,"أمس، هم تجديفوا في النهر.",5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
82,,,5,cleft.19,منو اللي كانت الحرمة العيوز تترياه في العيادة المزدحمة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
83,,,5,NP.41,كل مسؤولة مهتمة تعاتب المدير بعد الفشل.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
84,,,5,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,السندويشة فيها جبن؟,9,5,congruent.12,طلبت سندويشة بيض وجبن.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
86,,,5,cleft.11,منو اللي كان المديرالقاسي بيفنشه في اجتماع الدوام؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
87,,,5,congruent.27,السفينة اختفت بين كثافة الضباب.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
88,,,5,BVA.34,كل محامية مهمله تلوم نفسها على الخساره.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
89,المحاسب فنش خالد؟,7,5,yn.87,كان المحاسب المشغول موظف خالد عشان يخفف الضغط؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
90,,,5,RA.06,الممرض المنتبه ينظف نفسه بين الشفتات.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
91,الحارس فرج الشاردين؟,7,5,Control.23,"يوم أنا كنت في السجن، الحارس زخ الشاردين.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
92,,,5,NP.57,كل وزيرة يديدة تكلم الرئيس قبل الخطاب.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
93,,,5,yn.65,كان الطباخ المهمل مرتكب كارثة عشان يتفنش فجأة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
94,,,5,Control.25,"يوم أنا كنت في القاعة، المنظمة جهزت الزينة.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
95,,,5,fronting.45,منو كان المراهق الشيطان يضارب في سكة الفريج؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
96,,,5,RA.43,الصحفية المتنافسة تمدح نفسها عشان الفوز.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
97,,,5,fronting.48,منو كان المذيع السياسي ينتقده في المقابله الاخيره؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
98,,,5,incongruent.42,هو أرسل الرسالة بدون دري.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
99,,,5,BA.57,"يوم هو كان في المكتب، المحامي حضر المتهم.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
100,,,5,NP.17,كل طالب متوتر يطمن أهله بعد الدراسة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
101,,,5,incongruent.57,الولد اشترى آيس كريم من البحر.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
102,,,5,cleft.22,شو اللي كان التاجر الغني يشتريه من سوق الذهب؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
103,الكوافيرة جهزت الزبونة؟,9,5,BA.42,"يوم هي كانت في الصالون، الكوافيرة جهزت الزبونة.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
104,,,5,BVA.90,كل غواص خبير يأمن نفسه من الخطر.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
105,,,5,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,المنتج ضبط المشهد؟,9,5,Control.26,"يوم أنا كنت في الاستوديو، المنتج ضبط المشهد.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
107,,,5,NP.44,كل محامية شغوفة تطور عملاءها مع القضايا.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
108,,,5,congruent.29,هم ربوا الغنم في مزرعتهم.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
109,,,5,Control.29,"يوم أنا كنت في المشغل، الخياط جهز المخور.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
110,المدير مريح نفسه؟,7,5,RA.18,المدير المهموم يهلك نفسه في الدوام.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
111,,,5,BA.44,"يوم هي كانت في الورشة، الرسامة نقدت الفنان.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
112,,,5,yn.89,كان الجراح الخبير يعالج الكابتن من الفريق الوطني؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
113,,,5,NP.01,كل باريستا محترف يدرب الموظفين قبل الافتتاح.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
114,,,5,fronting.62,منو كانت اللاعبة التعبانة تنافس في المباراة الاخيرة؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
115,,,5,RA.40,المستشارة المتعمقة تهلك نفسها عشان العميل.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
116,البنت تلحق حد؟,9,5,cleft.17,منو اللي كانت البنت النشيطة تلحقه في حديقة الفريج؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
117,,,5,BA.59,"يوم هو كان على المركب، القبطان شجع الطاقم.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
118,ادخن سجائر المنثول؟,7,5,incongruent.44,أنا بالعادة أدخن سجائر الطاقة.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
119,,,5,fronting.50,منو كان السباح المتحمس ينافس في البطولة الافريقية؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
120,,,5,BVA.79,كل عروسة يديده تدلع نفسها قبل العرس.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
121,,,5,yn.70,كانت المريضة اليوعانة تاكل عدل عشان تتحسن حالتها؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
122,,,5,incongruent.59,طلعتهم اختربت من المخمة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
123,,,5,cleft.24,شو اللي كان المغني المشهور يغنيه في الحفلة الليلة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
124,,,5,BVA.13,كل مجرم سفاح يخفي نفسه من المباحث.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
125,,,5,congruent.14,ميره نشت بعد ما ياها كابوس.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
126,,,5,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,,,5,congruent.02,ميثا تفرش أسنانها بعد كل وجبة.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
128,,,5,yn.53,كان الولد الصغير فايز جائزة في مسابقة الرسم؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
129,,,5,fronting.26,منو كان المشجع المتحمس يشجع في بطولة الرماية؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
130,الممثل مدح نفسه؟,9,5,BVA.21,كل ممثل مغرور مدح نفسه وقت العرض.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
131,,,5,congruent.17,نيويورك مدينة وايد مزدحمة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
132,,,5,BA.47,"يوم هو كان في الموقع، المهندس فحص الشغل.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
133,,,5,yn.69,كان الريال المحترم يحب وحدة من بنات الجيران؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
134,,,5,BVA.75,كل محامية متوتره تراجع نفسها قبل الجلسة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
135,,,5,Control.2,"يوم أنا كنت في المطبخ، الطباخة علمت المبتدأين.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
136,الدكتورة تعالج نفسها؟,7,5,RA.81,الدكتورة الكبيرة تعالج نفسها في المستشفى.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
137,,,5,NP.20,كل مسبب لحادث يعاتب غيره بعد الأذى.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
138,,,5,incongruent.47,حمد عبى القلم بالحليب.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
139,,,5,fronting.29,شو كان الكهربجي المتقن يصلح في محل الالكترونيات؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
140,الجراحة تجهز الأكل؟,7,5,NP.85,كل جراحة حريصة تجهز الممرضين قبل العملية.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
141,,,5,cleft.73,شو اللي كانت المحامية الجريئه تعرضه في جلسة المحمكه؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
142,,,5,BA.32,"يوم هي كانت في المدرسة، المعلمج علمت الاطفال.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
143,,,5,Control.5,"يوم أنا كنت في المكتب، المحاسب راجع الحسابات.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
144,,,5,incongruent.32,"عقب العشاء، هم غسلوا الحديقة.",21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
145,,,5,RA.82,السواق اليديد يطمن نفسه قبل الامتحان.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
146,الطالب يذاكر في المكتبة؟,9,5,cleft.03,شو اللي كان الطالب الشاطر يذاكره في مكتبة الجامعة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
147,,,5,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,الطفلة تخفي نفسها؟,9,5,BVA.35,كل طفلة مشاغبه تخفي نفسها من العقاب.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
149,,,5,incongruent.56,البنت كانت ترسم لوحة جميلة في الغوص.,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
150,,,5,RA.63,الدكتورة الجامعية تمتحن نفسها بعد المحاضرة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
151,,,5,fronting.44,منو كانت العميلة المزعجة تهزب على خط الدوام؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
152,,,5,Control.22,"يوم أنا كنت في الطيارة، المضيفة يابت الأكل.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
153,,,5,cleft.20,شو اللي كان الولد الشقي بيكسره في غرفة الالعاب؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
154,,,5,congruent.11,أحب صوص الكاكاو ويا الآيس كريم.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
155,,,5,yn.86,كانت الكوافيرة المحترفة تتجاهل اليهال من الزباين المزعجين؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
156,,,5,BVA.84,كل مهندس ذكي يجهز نفسه قبل المشروع.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
157,,,5,incongruent.41,هو رخى الربطة اللي حول المسمار.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
158,المرشدة تصور الباص؟,7,5,NP.51,كل مرشدة سياحية تصور السياح عند الآثار.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
159,الفنان يرسم حد؟,9,5,fronting.47,منو كان الفنان الموهوب يرسم في لحظة شهرته؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
160,,,5,NP.50,كل رقاص متمرس يصور المدرب في التمارين.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
161,,,5,BA.41,"يوم هي كانت في المطبخ، الطباخة كلمت السواق.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
162,,,5,cleft.10,منو اللي كان الدريول اللاهي بيدعمه في زحمة الباركنات؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
163,,,5,BA.56,"يوم هو كان في المستشفى، الجراح كلم الممرضة.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
164,الأب يلوم مرته؟,7,5,RA.12,الأب الغائب يلوم نفسه على الغياب.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
165,,,5,congruent.26,سيارات السباقات عطوهم العلم اللي فيه مربعات.,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
166,,,5,Control.21,"يوم أنا كنت في المؤتمر، السفير ألقى كلمة.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
167,,,5,yn.64,كان المخرج الفرنسي يعرض أفلام في المجتمع العربي؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
168,,,5,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,,,5,NP.77,كل ممثلة صوتية تسمع الشخصية في الأفلام.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
