sentence,trigger,taskQuestion,correctAnswer
المتدرب المصر يعلم نفسه عشان يتطور,201, ,
الرسامة المبهرة تنظف نفسها بعد الرسم,201, ,
الرياضية المبتدئة تقنع نفسها قبل التمرين,201,,
المحاسبة الجديدة تعلم نفسها عشان تتفوق,201,Was there a rollercoaster?,
المسافرة المتحمسة تجهز نفسها قبلها بفترة,201, ,
العالمة الحريصة تحمي نفسها قبل التجارب,201, ,
المدمن المتشافي يسامح نفسه عشان يتخطى,201, ,
المحامية المهملة تلوم نفسها على الخسارة,201, ,
الطفلة المشاغبة تخفي نفسها من العقاب,201,Was someone fired?,
الممثل المخلص يجمل نفسه لمتطلبات الدور,201, ,
الممرضة المصابة تحبس نفسها فترة المرض,201, ,
الملكة المخلصة تلزم نفسها لخدمة شعبها,201,Did she put something on?,
المديرة المهتمة تطمن نفسها بنجاح موظفيها,201, ,
المستشارة المتعمقة تهلك نفسها لصحة مرضاها,201,Was there a compliment?,
المسؤولة المهتمة تعاتب نفسها لفشل الموظفين,201, ,
المربية المسؤولة تحمل نفسها ذنب الضرر,201, ,
الصحفية المتنافسة تمدح نفسها عشان تفوز,201, ,
المحامية الشغوفة تطور نفسها مع القضايا,201, ,
المسلم الملتزم يذكر نفسه بتوقيت الصلاة,201, ,
كل باريستا محترف يدرب الموظفين للنقش عالقهوه,201, ,
كل مجرم جريئ يهيئ شريكه نفسياً قبل الجريمة,201, ,
كل ممثل شغوف يراجع مدربه قبل المسرحيه,201, ,
كل مبرمج شغوف يطور طلابه لحل المشكلات,201,Was someone deleted from the list?,
كل طالبة مجتهده تعلم زميلتها بعد الحصة,201,,
كل ممرض منتبه ينظف مريضه بين الشفتات ,201, ,
كل شخص خواف يقنع صديقة يواجه مخاوفه ,201, ,
كل رسام محترف يعلم المبتدأين الرسم بالتدريج,201, ,
كل رياضي مهتم يجهز فريقه قبل المسابقة,201,Did Larry circulate a note?,
كل متسلق خبير يحمي زميله قبل التسلق ,201, ,
كل ام مقصره تسامح عيالها على التقصير,201, ,
كل اب غايب يلوم حرمته لزعل عياله,201,Was there feedback from the buyers?,
كل مجرم سفاح يخفي ضحيته من المباحث ,201, ,
كل دكتورة تجميل تجمل مرضاها عشان التسويق ,201, ,
كل مريض مُعادي يحبس اهله في الحجر ,201, ,
كل موظف ناجح يلزم فريقه لنجاح شغله,201, ,
كل طالب متوتر يطمن اهله بعد الدراسة,201, ,
كل مدير مهموم يهلك موظفينه عشان يخلص ,201, ,
كل دكتور يخطء يعاتب الممرضين بعد العمليات,201,Did the charity close down?,
كل مسبب لحادث يحمل غيره ذنب الاذى,201,Was the email from the lawyer?,
كل ممثل مغرور مدح المخرج وقت العرض,201,Did Carl help a relative?,
كل طباخ محترف يطور مساعدينه لأحتياجات المطعم ,201, ,
كل مصوره مبدعه تدرّب المتعلمين على زوايا ,201, ,
كل مغنية مشهوره تهيء الفرقه قبل الحفل,201, ,
كل مدرسة مرتبة تراجع لطلابها لتحضير الحصص,201, ,
كل طفله تنضج تاكل دميتها عشان تتعلم,201,,
كل متدرب مُصر يعلم نفسه عشان يتطور,201, ,
كل رسامه مبهره تنظف نفسها بعد الرسم,201, ,
كل رياضيه مبتدأه تقنع مدربها قبل التمرين,201, ,
كل محاسبه يديده تلعم زميلتها عشان تتفوق ,201, ,
