sentence,trigger,taskQuestion,correctAnswer
لما أنا كنت في المدرسة الام ودعت الولاد,229,,
لما أنا كنت في المطبخ الطباخة كلمت السواق,230,,
لما أنا كنت في الصالون الكوافيرة ظبطت الزبونة,231,,
لما أنا كنت في المستشفى الداية ساعدت الام,224,,
لما أنا كنت في الورشة الرسامة نقدت الفنان,225,,
لما أنا كنت في الكنيسة الراهبة كلمت البابا,226,,
لما أنا كنت في المستشفى الدكتور عالج العيان,227,,
لما أنا كنت في الموقع المهندس عاين الشغل,228,,
لما أنا كنت في المطار الطيار قابل المضيفة,229,,
لما أنا كنت في المحكمة القاضي عاقب المجرم,230,,
لما أنا كنت في الشغل السواق وصل الزبون,231,,
لما أنا كنت في المدرسة الناظر عاقب الطلاب,224,,
لما أنا كنت في العاصمة الوزير قابل الرئيس,225,,
لما أنا كنت في البيت الكهربائي حاسب الاب,226,,
لما أنا كنت في المطعم الشيف اكل الويتر,227,,
لما أنا كنت في المعمل العالم علم المساعد,228,,
لما أنا كنت في المستشفى الجراح كلم الممرضة,229,,
لما أنا كنت في المكتب المحامي حضر المتهم,230,,
لما أنا كنت في الورشة النجار درب المساعد,231,,
لما أنا كنت علي المركب القبطان شجع التاقم,224,,
لما أنا كنت في القسم الضابط حيا النقيب,225,,
لما أنا كنت في الجنينة الفلاحة ترضت الولاد,226,,
لما أنا كنت في المطبخ الطباخة علمت المبتدئين,227,,
لما أنا كنت في الموقع المهندس راجع التصميم,228,,
لما أنا كنت في الصف المدرسة هزأت الطلاب,229,,
لما أنا كنت في المكتب المحاسب راجع الحسابات,230,,
لما أنا كنت في العمليات الدكتور كسر الجهاز,231,,
لما أنا كنت في المستشفى الصيدلانية صرفت الادوية,224,,
لما أنا كنت في العمليات الممرضة ساعدت الدكتور,225,,
لما أنا كنت في المحطة الضابط حل القضية,226,,
لما أنا كنت في المينا البحار جهز المركب,227,,
لما أنا كنت في الملعب المدرب علم اللعيبة,228,,
لما أنا كنت في المعرض الرسامه عرضت اللوح,229,,
لما أنا كنت في المكتب المدير نظم الاجتماعات,230,,
لما أنا كنت في المسرح الممثلة مثلت الدور,231,,
لما أنا كنت في المطار الطيار جهز للاقلاع,224,,
لما أنا كنت في الأجتماع السكرتيره كتبت الملاحظات,225,,
لما أنا كنت في الجنينة الشغالة لعبت الاولاد,226,,
لما أنا كنت في الاستوديو المنتج ضبط المشهد,227,,
لما أنا كنت في العرض المصممه عرضت التصاميم,228,,
لما أنا كنت في الطوارئ الجراح انقذ العجوز,229,,
لما أنا كنت في البيت الكهربائي صلح الانوار,230,,
لما أنا كنت في المؤتمر السفير القى كلمة,231,,
لما أنا كنت في الطيارة المضيفة جابت الأكل,224,,
لما أنا كنت في السجن الحارس مسك الهربنين,225,,
لما أنا كنت في الجيم المدرب مرن المتسابقين,226,,
لما أنا كنت في المكتب المترجمة ترجمة الوثائق,227,,
لما أنا كنت في المصنع النجار عمل ترابيزة,228,,
لما أنا كنت في الاستوديو المذيع قدم النشرة,229,,
لما أنا كنت في المشغل الخياط جهز البدلا,230,,
لما أنا كنت في القاعة المنظمة جهزت الزينة,231,,
