sentence,trigger,taskQuestion,correctAnswer
الرسامة المعروفة بترسم نفسها عشان تتشهر,201, ,
الكاتب المحبوب بيتحدى نفسه عشان يتحسن,201, ,
الممرضة المبتدئة بتتحدى نفسها في الشغل,201, ,
السواء الحريف بيراجع نفسه قبل الرحلة,201,,
المحامي المتوتر بيراجح نفسه قبل الجلسة,201,Was there a rollercoaster?,
الموسيقار الحساس بيسمع نفسه في التسجيلات,201, ,
الممثلة الصوتيا بتسمع نفسها في الافلام,201, ,
الراجل اللغني بيدلع نفسة بعد الشأة,201, ,
العروسة الجديدة بتدلع نفسها قبل الفرح,201, ,
الصيدلي العيان بيعالج نفسه في الصيدلية ,201,Was someone fired?,
الدكتورة الكبيرة بتعالج نفسها في المستشفى,201, ,
السواق الجديد بيطمن نفسه قبل الامتحان,201, ,
المريضة المتوترة بتطمن نفسها بعد العلاج,201,Did she put something on?,
المهندس الذكي بيجهز نفسه قبل المشروع,201, ,
الجراحة الحريصة  بتجهز نفسها قبل العملية,201,Was there a compliment?,
العجوز الحكيم بيعلم نفسه من الحياة,201, ,
الممثلة القديرة بتعلم نفسها من الأدوار,201, ,
المدرس المضغوط بيريح نفسة بعد الامتحانات,201, ,
الخياطة المعروفة بدرب نفسها في التطريز,201, ,
الغطاس القديم بيحمي نفسه من الخطر,201, ,
كل موظف شأيان بيكافئ المساعدين بعد المشروع,201, ,
كل طالبة مجتهدة بتكافئ المدرسين بعد الامتحان,201, ,
كل ممثل مشهور بيشوف الزملاء في المسلسلات,201, ,
كل رياضية أولمبية بتشوف الفريق في الجرنان,201,Was someone deleted from the list?,
كل راقص متمرس  بيصور المدرب في التمارين,201,,
كل مرشدة سياحية بتصور السياح عند الاثار,201, ,
كل طفل صغير بيأكل التنين في الحضانة,201, ,
كل شيف محترف بتأكل الجرسون من الطبيخ,201, ,
كل اهوجي تعبان بيّشرب الزباين من الاهوة,201,Did Larry circulate a note?,
كل بنت عطشانة بتشرب البابي من الكوباية,201, ,
كل مذيع شاطر بيكلم المخرج عشان يتمرن,201, ,
كل وزيرة جديدة  بتكلم الرئيس ابل الخطاب,201,Was there feedback from the buyers?,
كل مغني مغرور بيحب الجمهور في الاستعراض,201, ,
كل ست شجاعة بتحب الستات في المجتمع,201, ,
كل ولد غلطان بيسامح الاهل بعد العقاب,201, ,
كل مسجونة ندمانة بتسامح القاضي بعد الخروج,201, ,
كل موظف مركز بيعاين المدير بعد المشروع,201, ,
كل دكتورة جامعية ببيعاين التلاميذ بعد المحاضرة,201, ,
كل مرشح جاهز بيرشح  عشان الانتخابات,201,Did the charity close down?,
كل مديرة طموحا بترشح الستات عشان المركز,201,Was the email from the lawyer?,
كل رياضي متحمس بيشجع الفريق في المباراة,201,Did Carl help a relative?,
كل مغنية مشهورة بتشجع الفرقة قبل الاستعراض,201, ,
كل مجرم مسجون بيحاسب المحامي على الحبسة,201, ,
كل أم قلوقة بتحاسب الولاد علي الحوادث,201, ,
الولد الصغير بيرسم الام في الشخبيطة,201, ,
الرسامة المعروفة بترسم المشاهير عشان تتشهر,201,,
كل كاتب محبوب بيتحدى الشخصياة عشان يتحسن,201, ,
كل ممرضة مبتدئة بتتحدى الدكترة في الشغل,201, ,
كل سواء حريف بيراجع الزبون قبل الرحلة,201, ,
كل محامية متوترة بتراجح المتهم قبل الجلسة,201, ,
كل موسيقار حساس بيسمع الفرقة في التسجيلات,201, ,
كل ممثلة صوتيا بتسمع الشخصية في الافلام,201,Was the experiment by the military?,
كل راجل غني بيدلع العمال بعد الشأة,201, ,
كل عروسة جديدة بتدلع العريس قبل الفرح,201,Did Joe break his leg?,
كل صيدلي عيان العيانين نفسه في الصيدلية ,201, ,
كل دكتورة كبيرة بتعالج المرضة في المستشفى,201, ,
كل سواق جديد بيطمن المشرف قبل الامتحان,201,Did Harry hire someone?,
كل مريضة متوترة بتطمن الدكتور بعد العلاج,201, ,
كل مهندس ذكي بيجهز العمال قبل المشروع,201,Did Nick cook something?,
كل جراحة حريصة  بتجهز الممرضين قبل العملية,201,Was there a sculpture exhibition?,
كل عجوز حكيم بيعلم الشباب من الحياة,201, ,
كل ممثلة قديرة بتعلم الجمهور من الأدوار,201, ,
كل مدرس مضغوط بيريح الطلاب بعد الامتحانات,201, ,
كل خياطة معروفة بدرب المبتدئين في التطريز,201, ,
كل غطاس قديم بيحمي التلمذة من الخطر,201, ,
