taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,,1,condition3.33,每个 收银 逛街 的时候 都 说 医护人员 闯了 不少的 红灯。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,yesno.78,米奇 想知道 那个 浙江的 厨师 教了 那个 动作 给 武汉的 警卫 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,condition4.18,那个 顾问 咨询 的时候 说 项目专员 画了 清晰的 图表。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
保安是银行的保安吗？,7,1,insitu.03,乔治 想知道 那个 酒店的 保安 退了 什么 给 老家的 商家。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,BVA.63,每个 演员 签字 的时候 都 说 自己 练了 潇洒的 签名。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
那个演员表演了吗?,9,1,condition4.19,那个 演员 表演 的时候 说 舞台监督 上了 神圣的 舞台。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,insitu.49,丹尼 想知道 那个 网游的 美术 丢了 什么 给 软件的 码农。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,RA.109,那个 园丁 浇花 的时候 说 自己 买了 陶瓷的 水壶。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
雷伊摔倒了吗？,9,1,incongruent.19,雷伊 摔倒后 坐在了 天上。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,BVA.04,每个 妈妈 做饭 的时候 都 说 自己 炒了 金黄的 鸡蛋。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,thehell.64,汉娜 想知道 那个 寺院的 小李 到底 捐了 什么 给 车站的 露娜。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,condition3.34,每个 主持 念词 的时候 都 说 表演指导 用了 深刻的 感情。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,BVA.64,每个 球员 输球 的时候 都 说 自己 差了 些许的 运气。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,thehell.19,卡尔 想知道 那个 公司的 顾问 到底 还了 什么 给 员工的 客户。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,condition4.79,那个 司仪 主持 的时候 说 新婚夫妇 找了 最好的 会场。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,yesno.34,亚当 想知道 那个 网店的 店主 送了 那台 空调 给 广告的 专家 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,congruent.34,布莱恩 在 他的 牛排上 倒了 酱汁。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,1,yesno.79,雪莉 想知道 那个 长沙的 导演 寄了 那张 海报 给 重庆的 演员 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,incongruent.49,她 穿上了 她的 床头灯。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition3.94,每个 养父 做饭 的时候 都 说 食堂厨师 学了 全新的 菜谱。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
贝蒂能够学会撒谎吗？,7,1,congruent.04,贝蒂 永远 学不会 撒谎。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,insitu.04,老李 想知道 那个 学校的 老师 教了 什么 给 老范的 学生。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
士兵说自己做美梦了吗？,7,1,RA.49,那个 士兵 打仗 的时候 说 自己 做了 可怕的 噩梦。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
查理给新书写了一篇评论吗？,7,1,congruent.05,查理 给 新书 写了 一个 章节。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,1,BVA.65,每个 策展 布展 的时候 都 说 自己 做了 全面的 研究。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,thehell.65,达拉 想知道 那个 仓库的 库管 到底 丢了 什么 给 广场的 大妈。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
那个声优说自己吃了难吃的喉糖吗？,7,1,RA.50,那个 声优 录音 的时候 说 自己 吃了 清新的 喉糖。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,yesno.80,小徐 想知道 那个 家电的 导购 赔了 那台 电视 给 香港的 球员 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
她有的是一条猫吗？,9,1,incongruent.20,她 和 她的 猫 有着 一样的 可乐。,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
,,1,condition4.80,那个 明星 吃饭 的时候 说 经纪团队 挑了 最少的 碳水。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,insitu.50,彼得 想知道 那个 部门的 主任 买了 什么 给 小区的 电工。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition3.35,每个 主任 演讲 的时候 都 说 生产主管 做了 杰出的 贡献。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,incongruent.50,她 用 胡椒 腌制了 飞机。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,1,RA.110,那个 出纳 计算 的时候 说 自己 找了 最新的 数据。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,congruent.35,凯西 被 所有人 喜欢。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition4.20,那个 保洁 开工 的时候 说 维修师傅 拖了 肮脏的 地面。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,yesno.35,露西 想知道 那个 导演的 助理 端了 那份 盒饭 给 乐团的 乐手 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
老板开会了吗？,9,1,BVA.05,每个 老板 开会 的时候 都 说 自己 讲了 简单的 几句。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,thehell.20,老张 想知道 那个 餐车的 厨师 到底 分了 什么 给 后勤的 学徒。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,condition3.95,每个 小偷 盗窃 的时候 都 说 犯罪同伙 翻了 全部的 橱柜。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,insitu.05,小王 想知道 那个 酒吧的 酒保 发了 什么 给 商场的 顾客。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,yesno.81,老黄 想知道 那个 政府的 官员 提了 那个 方案 给 展览的 策展 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,BVA.06,每个 保安 执勤 的时候 都 说 自己 洗了 厚重的 棉袄。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,insitu.51,罗伊 想知道 那个 驾校的 教练 卖了 什么 给 视频的 审核。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition4.81,那个 大使 来访 的时候 说 行政主管 选了 大气的 礼物。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
花匠是植物园的花匠吗？,7,1,yesno.36,尼克 想知道 那个 飞机的 机长 讲了 那则 新闻 给 花圃的 花匠 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,condition3.36,每个 水手 出海 的时候 都 说 船员总管 吻了 深爱的 爱人。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
邻国有难民吗？,9,1,insitu.06,阿信 想知道 那个 歌手的 弟弟 捐了 什么 给 邻国的 难民。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,BVA.66,每个 安检 检查 的时候 都 说 自己 搜了 可疑的 包裹。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,congruent.36,乔伊 扭伤了 他的 脚踝。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition4.21,那个 工人 下岗 的时候 说 包工师傅 存了 极少的 存款。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
大学有讲师吗？,9,1,thehell.21,小杨 想知道 那个 大学的 讲师 到底 拿了 什么 给 校长的 宾客。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,condition3.96,每个 丈夫 出门 的时候 都 说 单位同事 带了 新买的 水瓶。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,incongruent.51,秋季 学期 从 秋天 睡觉。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,1,RA.111,那个 校长 升旗 的时候 说 自己 唱了 庄严的 国歌。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,thehell.66,里奥 想知道 那个 宿舍的 宿管 到底 买了 什么 给 青旅的 住客。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,incongruent.21,香氛 让 车里 充满了 汽水。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
那个剪辑说自己看了无聊的视频吗？,7,1,RA.51,那个 剪辑 拍照 的时候 说 自己 看了 有趣的 视频。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,congruent.06,看电影 的时候 我们 吃了 爆米花。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
老板是花店的吗？,7,1,yesno.37,艾莎 想知道 那个 鱼店的 老板 读了 那章 小说 给 瑜伽的 教练 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,condition4.22,那个 导演 演出 的时候 说 选角导演 选了 正确的 明星。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,congruent.37,每周一 园丁 都 会 打扫 草坪。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,1,condition3.37,每个 实习 离职 的时候 都 说 行政专员 写了 真诚的 信件。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
粉丝是男主的粉丝吗？,7,1,insitu.07,鲍勃 想知道 那个 电影的 主角 丢了 什么 给 女主的 粉丝。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,BVA.67,每个 牙医 手术 的时候 都 说 自己 做了 彻底的 清洁。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,incongruent.22,那个 男孩 帮 小李 洗了 圆。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
,,1,condition4.82,那个 导师 授课 的时候 说 博士学生 写了 细致的 教案。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,thehell.67,亨利 想知道 那个 影厅的 小丽 到底 卖了 什么 给 泳池的 员工。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,incongruent.52,卫生间 的 水龙头 醒了。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
教授锻炼吗？,9,1,BVA.07,每个 教授 锻炼 的时候 都 说 自己 穿了 崭新的 卫衣。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,insitu.52,菲尔 想知道 那个 电台的 主播 喂了 什么 给 人事的 宠物。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,RA.112,那个 鞋匠 制鞋 的时候 说 自己 用了 高级的 皮革。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
工地有工人吗？,9,1,thehell.22,张三 想知道 那个 工地的 工人 到底 留了 什么 给 老婆的 工头。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,condition3.97,每个 乘客 出行 的时候 都 说 地铁司机 戴了 崭新的 口罩。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,yesno.82,凯恩 想知道 那个 菜场的 摊贩 配了 那份 午餐 给 球场的 球童 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,RA.52,那个 专家 宣传 的时候 说 自己 做了 十足的 准备。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,congruent.07,艾米莉 把 麦片 倒在了 碗里。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,thehell.68,珍妮 想知道 那个 冰场的 游客 到底 喂了 什么 给 汪远的 小狗。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,condition3.98,每个 小孩 玩耍 的时候 都 说 邻居哥哥 滑了 很高的 滑梯。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,yesno.83,凯文 想知道 那个 宾馆的 前台 寄了 那张 贺卡 给 港口的 海关 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,BVA.08,每个 司机 出车 的时候 都 说 自己 织了 保暖的 手套。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
哈尔给她写的是遗书吗？,7,1,congruent.08,哈尔 给 她 写了 一封 情书。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,1,insitu.53,瑞秋 想知道 那个 军队的 士兵 借了 什么 给 航母的 水手。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition4.23,那个 前台 面试 的时候 说 竞争对手 涂了 亮眼的 口红。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,congruent.38,父亲 用 刀 杀了 一只 鸡。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
助理说文案策划讲了枯燥的故事吗？,9,1,condition3.38,每个 助理 展示 的时候 都 说 文案策划 讲了 生动的 故事。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,incongruent.53,那艘船 轻松的 穿过了 森林。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
队员是蓝队的队员吗？,7,1,thehell.23,李四 想知道 那个 队伍的 教练 到底 发了 什么 给 红队的 队员。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,BVA.68,每个 邻居 出门 的时候 都 说 自己 看了 空荡的 信箱。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,yesno.38,乔伊 想知道 那个 游戏的 玩家 拿了 那张 日历 给 电视的 主持 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
宿管巡逻了吗？,9,1,RA.53,那个 宿管 巡逻 的时候 说 自己 抓了 调皮的 学生。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,incongruent.23,肥料 让 土地 变得 生气。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,1,insitu.08,麦克 想知道 那个 学生的 朋友 买了 什么 给 教授的 儿子。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition4.83,那个 护士 学习 的时候 说 实习医生 背了 全部的 条例。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,RA.113,那个 法务 谈判 的时候 说 自己 给了 最高的 报价。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
颜料是恶心的吗？,7,1,BVA.09,每个 画家 作画 的时候 都 说 自己 挑了 好用的 颜料。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,congruent.09,他 给 家里 买了 一块 地毯。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,1,insitu.54,露娜 想知道 那个 公司的 实习 送了 什么 给 婚礼的 司仪。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,BVA.69,每个 观众 入场 的时候 都 说 自己 读了 冗长的 须知。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,thehell.69,诺亚 想知道 那个 机房的 老师 到底 借了 什么 给 花店的 实习。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
侦探会开车吗？,9,1,condition4.24,那个 侦探 开车 的时候 说 汽修工人 用了 强劲的 引擎。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,yesno.84,露丝 想知道 那个 包厢的 富豪 带了 那瓶 香槟 给 美国的 客户 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,incongruent.24,那个 妈妈 喂了 新出生的 火车。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
商人是卖珠宝的吗？,7,1,yesno.39,黛西 想知道 那个 珠宝的 商人 留了 那则 忠告 给 摄影的 导师 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
